api_or_uri,category,label,kind,reachable,reached_from_entrypoint_class,reached_from_entrypoint_method,path_length,path,dfs_depth
com.google.ar.core.CameraConfig$DepthSensorUsage->forNumber,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getDepthSensorUsage,1,com.google.ar.core.CameraConfig->getDepthSensorUsage -> com.google.ar.core.CameraConfig$DepthSensorUsage->forNumber,1
com.google.ar.core.CameraConfig$DepthSensorUsage->valueOf,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$DepthSensorUsage,valueOf,0,com.google.ar.core.CameraConfig$DepthSensorUsage->valueOf,0
com.google.ar.core.CameraConfig$DepthSensorUsage->values,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getDepthSensorUsage,2,com.google.ar.core.CameraConfig->getDepthSensorUsage -> com.google.ar.core.CameraConfig$DepthSensorUsage->forNumber -> com.google.ar.core.CameraConfig$DepthSensorUsage->values,2
com.google.ar.core.CameraConfig$FacingDirection->$values,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$FacingDirection,<clinit>,1,com.google.ar.core.CameraConfig$FacingDirection-><clinit> -> com.google.ar.core.CameraConfig$FacingDirection->$values,1
com.google.ar.core.CameraConfig$FacingDirection-><clinit>,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$FacingDirection,<clinit>,0,com.google.ar.core.CameraConfig$FacingDirection-><clinit>,0
com.google.ar.core.CameraConfig$FacingDirection-><init>,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$FacingDirection,<clinit>,1,com.google.ar.core.CameraConfig$FacingDirection-><clinit> -> com.google.ar.core.CameraConfig$FacingDirection-><init>,1
com.google.ar.core.CameraConfig$FacingDirection->forNumber,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getFacingDirection,1,com.google.ar.core.CameraConfig->getFacingDirection -> com.google.ar.core.CameraConfig$FacingDirection->forNumber,1
com.google.ar.core.CameraConfig$FacingDirection->valueOf,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$FacingDirection,valueOf,0,com.google.ar.core.CameraConfig$FacingDirection->valueOf,0
com.google.ar.core.CameraConfig$FacingDirection->values,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getFacingDirection,2,com.google.ar.core.CameraConfig->getFacingDirection -> com.google.ar.core.CameraConfig$FacingDirection->forNumber -> com.google.ar.core.CameraConfig$FacingDirection->values,2
com.google.ar.core.CameraConfig$StereoCameraUsage->$values,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$StereoCameraUsage,<clinit>,1,com.google.ar.core.CameraConfig$StereoCameraUsage-><clinit> -> com.google.ar.core.CameraConfig$StereoCameraUsage->$values,1
com.google.ar.core.CameraConfig$StereoCameraUsage-><clinit>,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$StereoCameraUsage,<clinit>,0,com.google.ar.core.CameraConfig$StereoCameraUsage-><clinit>,0
com.google.ar.core.CameraConfig$StereoCameraUsage-><init>,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$StereoCameraUsage,<clinit>,1,com.google.ar.core.CameraConfig$StereoCameraUsage-><clinit> -> com.google.ar.core.CameraConfig$StereoCameraUsage-><init>,1
com.google.ar.core.CameraConfig$StereoCameraUsage->forBitFlags,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getStereoCameraUsage,1,com.google.ar.core.CameraConfigFilter->getStereoCameraUsage -> com.google.ar.core.CameraConfig$StereoCameraUsage->forBitFlags,1
com.google.ar.core.CameraConfig$StereoCameraUsage->forNumber,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getStereoCameraUsage,1,com.google.ar.core.CameraConfig->getStereoCameraUsage -> com.google.ar.core.CameraConfig$StereoCameraUsage->forNumber,1
com.google.ar.core.CameraConfig$StereoCameraUsage->valueOf,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$StereoCameraUsage,valueOf,0,com.google.ar.core.CameraConfig$StereoCameraUsage->valueOf,0
com.google.ar.core.CameraConfig$StereoCameraUsage->values,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getStereoCameraUsage,2,com.google.ar.core.CameraConfig->getStereoCameraUsage -> com.google.ar.core.CameraConfig$StereoCameraUsage->forNumber -> com.google.ar.core.CameraConfig$StereoCameraUsage->values,2
com.google.ar.core.CameraConfig$TargetFps->$values,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$TargetFps,<clinit>,1,com.google.ar.core.CameraConfig$TargetFps-><clinit> -> com.google.ar.core.CameraConfig$TargetFps->$values,1
com.google.ar.core.CameraConfig$TargetFps-><clinit>,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$TargetFps,<clinit>,0,com.google.ar.core.CameraConfig$TargetFps-><clinit>,0
com.google.ar.core.CameraConfig$TargetFps-><init>,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$TargetFps,<clinit>,1,com.google.ar.core.CameraConfig$TargetFps-><clinit> -> com.google.ar.core.CameraConfig$TargetFps-><init>,1
com.google.ar.core.CameraConfig$TargetFps->forBitFlags,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getTargetFps,1,com.google.ar.core.CameraConfigFilter->getTargetFps -> com.google.ar.core.CameraConfig$TargetFps->forBitFlags,1
